""	"NT1early"	"NT2early"	"NT1late"	"NT2late"
"b3907"	1.55920014658968	0.959857673874569	1.1523111693555	1.37409076349546
"b3908"	333.243034593928	247.628782970977	256.313994180306	344.902549023759
"b3909"	3.38656730412719	1.82306006749095	2.15489994734822	3.49323812592705
"b3910"	11.509333414872	6.15808645505571	6.34476000265519	7.22792005938471
"b3911"	21.2230622166935	11.8867265386065	6.28028827017732	7.46895925994365
"b3912"	46.9807154136198	48.0797472091541	39.5391329102177	44.8131515540127
"b3915"	28.435085275458	16.1790783494022	18.7232314597338	26.6901022359733
"b3916"	93.1142679350526	48.1362312217918	41.0322823306964	48.2857276433015
"b3917"	8.88958349961039	6.44239018746903	6.64350523776148	7.2806937251738
"b3918"	6.90484326434511	5.51029619911884	5.86084524916984	8.11983973504181
"b3919"	439.407664711705	369.708061755543	408.891669074605	661.991341007059
"b3920"	15.0342507458974	10.6694694118449	9.45429096622064	16.7944892533684
"b3921"	7.19104291622458	7.02850884461623	5.76674332202969	8.17220724254202
"b3922"	15.9456987236542	19.9532293177822	29.9360411328	37.1239072686112
"b3923"	37.7759928596407	34.5826673320604	65.9173478788561	86.2381777790607
"b3924"	39.0199491255444	19.1823876535783	17.935233151402	24.3917181800135
"b3925"	109.30352404344	46.5969601151945	51.3154595670702	61.6234948469072
"b3926"	281.915686625349	127.511054939665	359.078175958668	335.074630217683
"b3927"	168.008122245393	80.3283294194051	257.960444836265	297.660033669983
"b3928"	1300.04996242594	1275.6307832725	1200.92028950395	1504.76854022437
"b3929"	255.873003384308	234.258597851721	353.014543503018	390.395610226268
"b3930"	10.3208405978344	7.26705554887727	8.68065459431224	10.6708884129637
"b3931"	104.745932582039	60.094842477979	69.1846064416027	81.5645543899738
"b3932"	64.8831249990941	40.4285444163709	51.8923047866666	74.4230751877324
"b3933"	52.4045922815185	31.0453966393806	18.5802232737094	21.514572391079
"b3934"	38.3552398373024	21.0692406589352	9.54721593338924	11.9660796095353
"b3935"	10.1612095390984	3.25575409027083	6.05866423279834	7.22839612522185
"b3936"	8882.21332613763	5581.71964515325	8200.4716313882	10474.7185864938
"b3937"	27.0225336437682	18.1072658231658	13.8813260179749	20.1683048694867
"b3938"	79.6370152344662	75.8262840047026	159.014912095041	163.530508173276
"b3939"	6.43544507372616	3.27121237521714	4.10530343265589	5.49351101257049
"b3940"	19.918052748955	9.40740001855152	9.31277269077347	11.838864130276
"b3941"	15.1002875366516	13.6251312029892	12.5193165369372	15.8709691318562
"b3942"	41.0735566495107	19.7198094097169	24.6245082780363	22.6533476536468
"b3943"	15.9127349297588	7.74166955215894	7.12482186189985	11.7328298116158
"b3944"	0.900216032002751	0.879780693622006	0.889126470421547	1.12345844836403
"b3945"	4.67420102084478	2.24966642314352	3.35208166453139	3.41082899035273
"b3946"	0.804402681118668	0.254725689527568	0.329652477136107	0.396806647685301
"b3947"	1.19168870931549	0.284209420507155	0.734991871008268	0.6194189449392
"b3949"	0.956658148294987	0.405991986752091	0.867915283382079	1.25098616412428
"b3950"	5.37807135978661	5.26127594137789	11.0915493053618	17.0170692365342
"b3951"	1.86366971357365	1.02071325401785	1.73789374399039	2.32782872821825
"b3952"	1.35681690589641	0.257402202438842	0.917959130671397	0.519895606975747
"b3953"	2.90483243409409	0.564115181592378	0.89784339660215	1.48143098383138
"b3954"	5.21978381861714	2.5186124597582	2.42909008411673	2.6555931448796
